"Title","Latitude","Longitude","Description","LocalPath"
"1d0000097a_20250818_120000_Delay+4s_1024x768_Cam00_00.jpg",45.66856,25.6628224,"ID: 1d0000097a | UTC: 2025-08-18 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250818_140000_Delay+4s_1024x768_Cam00_00.jpg",45.6694528,25.6633392,"ID: 1d0000097a | UTC: 2025-08-18 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250818_160000_Delay+5s_1024x768_Cam00_00.jpg",45.6716896,25.6659264,"ID: 1d0000097a | UTC: 2025-08-18 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_160000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250819_080000_Delay+4s_1024x768_Cam00_00.jpg",45.6607328,25.671,"ID: 1d0000097a | UTC: 2025-08-19 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250819_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250819_100000_Delay+4s_1024x768_Cam00_00.jpg",45.66816,25.6625728,"ID: 1d0000097a | UTC: 2025-08-19 10:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250819_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250819_120000_Delay+4s_1024x768_Cam00_00.jpg",45.6690336,25.664304,"ID: 1d0000097a | UTC: 2025-08-19 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250819_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250819_140000_Delay+5s_1024x768_Cam00_00.jpg",45.6688224,25.6622368,"ID: 1d0000097a | UTC: 2025-08-19 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250819_140000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250819_160000_Delay+4s_1024x768_Cam00_00.jpg",45.66888,25.6583168,"ID: 1d0000097a | UTC: 2025-08-19 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250819_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250820_040000_Delay+4s_1024x768_Cam00_00.jpg",45.6691776,25.6628608,"ID: 1d0000097a | UTC: 2025-08-20 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250820_040000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250820_060000_Delay+4s_1024x768_Cam00_00.jpg",45.6689632,25.664272,"ID: 1d0000097a | UTC: 2025-08-20 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250820_060000_Delay+4s_1024x768_Cam00_00.jpg"
